ISO3,Country,GDP_Per_Capita_USD,Year
AFG,Afghanistan,413.76,2023
ALB,Albania,11377.78,2024
DZA,Algeria,5752.99,2024
AND,Andorra,49303.65,2024
AGO,Angola,2665.87,2024
ATG,Antigua and Barbuda,23542.45,2024
ARG,Argentina,13969.78,2024
ARM,Armenia,8556.21,2024
ABW,Aruba,39498.59,2024
AUS,Australia,64603.99,2024
AUT,Austria,58268.88,2024
AZE,Azerbaijan,7283.85,2024
BHS,"Bahamas, The",39455.45,2024
BHR,Bahrain,29653.57,2024
BGD,Bangladesh,2593.42,2024
BRB,Barbados,26544.87,2024
BLR,Belarus,8317.63,2024
BEL,Belgium,56614.57,2024
BLZ,Belize,7681.24,2024
BEN,Benin,1485.38,2024
BMU,Bermuda,142855.37,2024
BTN,Bhutan,3831.33,2023
BOL,Bolivia,4421.17,2024
BIH,Bosnia and Herzegovina,9358.79,2024
BWA,Botswana,7695.75,2024
BRA,Brazil,10310.55,2024
BRN,Brunei Darussalam,33153.47,2024
BGR,Bulgaria,17596.02,2024
BFA,Burkina Faso,981.99,2024
BDI,Burundi,219.42,2024
CPV,Cabo Verde,5192.48,2024
KHM,Cambodia,2627.88,2024
CMR,Cameroon,1830.01,2024
CAN,Canada,54340.35,2024
CYM,Cayman Islands,99143.52,2023
CAF,Central African Republic,516.16,2024
TCD,Chad,961.56,2024
CHI,Channel Islands,74585.52,2023
CHL,Chile,16709.89,2024
CHN,China,13303.15,2024
COL,Colombia,7919.21,2024
COM,Comoros,1662.76,2024
COD,"Congo, Dem. Rep.",649.38,2024
COG,"Congo, Rep.",2482.25,2024
CRI,Costa Rica,18587.15,2024
CIV,Cote d'Ivoire,2727.89,2024
HRV,Croatia,24050.44,2024
CUW,Curacao,22832.9,2024
CYP,Cyprus,38674.29,2024
CZE,Czechia,31823.31,2024
DNK,Denmark,71026.48,2024
DJI,Djibouti,3552.72,2024
DMA,Dominica,10405.28,2024
DOM,Dominican Republic,10875.66,2024
ECU,Ecuador,6874.71,2024
EGY,"Egypt, Arab Rep.",3338.47,2024
SLV,El Salvador,5579.66,2024
GNQ,Equatorial Guinea,6745.4,2024
EST,Estonia,31428.35,2024
SWZ,Eswatini,3909.56,2024
ETH,Ethiopia,1133.88,2024
FRO,Faroe Islands,74119.66,2024
FJI,Fiji,6425.74,2024
FIN,Finland,53149.77,2024
